#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::06 Condicional simple
#columns:Front,Back,Tags
#tags column:3
"How is the <b>condicional simple</b> formed?","<b>Whole infinitive</b> + ía · ías · ía · íamos · íais · ían<br><br>Identical for -ar, -er and -ir. Every form carries an accent on the <b>í</b>.","condicional-simple formation"
"They thought <b>we wouldn't be</b> any good for the team, and we won the league.<br><i>Condicional simple</i><br><span style='font-size:80%'>(valer · nosotros)</span>","Creían que no <b>valdríamos</b> para el equipo, y ganamos la liga.<br><span style='font-size:85%'>valer — to be worth (valer para = to be good enough for) · nosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"Vosotros <b>valdríais</b> para montar un restaurante; cocináis de maravilla.<br><i>Condicional simple</i>","<b>You two would be great</b> at running a restaurant — you're fantastic cooks.<br><span style='font-size:85%'>valer — to be worth (valer para = to be good at) · vosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"If you guys took it seriously, <b>you'd be good</b> at anything you wanted.<br><i>Condicional simple</i><br><span style='font-size:80%'>(valer · vosotros)</span>","Si os lo tomarais en serio, <b>valdríais</b> para lo que quisierais.<br><span style='font-size:85%'>valer — to be worth (valer para = to be good at) · vosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"Esos zapatos <b>valdrían</b> unos doscientos euros como mínimo.<br><i>Condicional simple</i>","Those shoes <b>must have cost</b> about two hundred euros at least.<br><span style='font-size:85%'>valer — to be worth, to cost · ellos · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"(In a shoe shop) <b>Would</b> these <b>do</b> for you in black?<br><i>Condicional simple</i><br><span style='font-size:80%'>(valer · ellas)</span>","¿Le <b>valdrían</b> estas en negro?<br><span style='font-size:85%'>valer — to be worth (valer = to do, to be OK) · ellas · <i>politeness / softening</i></span>","condicional-simple irregular en-es use-politeness"
"¿<b>Podría</b> probarme estos pantalones?<br><i>Condicional simple</i>","<b>Could I</b> try on these trousers?<br><span style='font-size:85%'>poder — can, to be able to · yo · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"If I had a car, <b>I could</b> come and see you more often.<br><i>Condicional simple</i><br><span style='font-size:80%'>(poder · yo)</span>","Si tuviera coche, <b>podría</b> ir a verte más a menudo.<br><span style='font-size:85%'>poder — can, to be able to · yo · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"¿<b>Podrías</b> bajar un poco la música? Estoy trabajando.<br><i>Condicional simple</i>","<b>Could you</b> turn the music down a bit? I'm working.<br><span style='font-size:85%'>poder — can, to be able to · tú · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"<b>You could</b> ask your sister for help.<br><i>Condicional simple</i><br><span style='font-size:80%'>(poder · tú)</span>","<b>Podrías</b> pedirle ayuda a tu hermana.<br><span style='font-size:85%'>poder — can, to be able to · tú · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular en-es use-advice"
"Perdone, ¿<b>podría</b> decirme dónde está la estación?<br><i>Condicional simple</i>","Excuse me, <b>could you</b> tell me where the station is?<br><span style='font-size:85%'>poder — can, to be able to · usted · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"The mechanic said <b>he could</b> fix it by Friday.<br><i>Condicional simple</i><br><span style='font-size:80%'>(poder · él)</span>","El mecánico dijo que <b>podría</b> arreglarlo para el viernes.<br><span style='font-size:85%'>poder — can, to be able to · él · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"<b>Podríamos</b> ir al cine esta tarde, ¿qué te parece?<br><i>Condicional simple</i>","<b>We could</b> go to the cinema this evening — what do you think?<br><span style='font-size:85%'>poder — can, to be able to · nosotros · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular es-en use-advice"
"If we saved a bit, <b>we could</b> go to Japan next year.<br><i>Condicional simple</i><br><span style='font-size:80%'>(poder · nosotros)</span>","Si ahorráramos un poco, <b>podríamos</b> ir a Japón el año que viene.<br><span style='font-size:85%'>poder — can, to be able to · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"¿<b>Podríais</b> hablar más bajo? El bebé está durmiendo.<br><i>Condicional simple</i>","<b>Could you guys</b> talk more quietly? The baby's asleep.<br><span style='font-size:85%'>poder — can, to be able to · vosotros · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"You guys <b>could</b> hire a van for the move.<br><i>Condicional simple</i><br><span style='font-size:80%'>(poder · vosotros)</span>","<b>Podríais</b> alquilar una furgoneta para la mudanza.<br><span style='font-size:85%'>poder — can, to be able to · vosotros · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular en-es use-advice"
"Nos dijeron que no <b>podrían</b> venir a la boda.<br><i>Condicional simple</i>","They told us <b>they wouldn't be able</b> to come to the wedding.<br><span style='font-size:85%'>poder — can, to be able to · ellos · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular es-en use-reported"
"(To two customers) <b>Could you</b> wait a moment, please?<br><i>Condicional simple</i><br><span style='font-size:80%'>(poder · ustedes)</span>","¿<b>Podrían</b> esperar un momento, por favor?<br><span style='font-size:85%'>poder — can, to be able to · ustedes · <i>politeness / softening</i></span>","condicional-simple irregular en-es use-politeness"
"No <b>sabría</b> decirte, no soy de aquí.<br><i>Condicional simple</i>","<b>I couldn't</b> tell you — I'm not from round here.<br><span style='font-size:85%'>saber — to know · yo · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"Without the satnav <b>I wouldn't know</b> how to get there.<br><i>Condicional simple</i><br><span style='font-size:80%'>(saber · yo)</span>","Sin el GPS no <b>sabría</b> llegar.<br><span style='font-size:85%'>saber — to know (how to) · yo · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"¿<b>Sabrías</b> decirme a qué hora cierra la farmacia?<br><i>Condicional simple</i>","<b>Would you know</b> what time the chemist's closes?<br><span style='font-size:85%'>saber — to know · tú · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"<b>Would you know</b> how to change a tyre if you had to?<br><i>Condicional simple</i><br><span style='font-size:80%'>(saber · tú)</span>","¿<b>Sabrías</b> cambiar una rueda si tuvieras que hacerlo?<br><span style='font-size:85%'>saber — to know (how to) · tú · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"¿Cómo se enteró? —Lo <b>sabría</b> por su hermana.<br><i>Condicional simple</i>","How did he find out? — <b>He must have heard</b> from his sister.<br><span style='font-size:85%'>saber — to know, to find out · él · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"Excuse me, <b>would you know</b> if the number 27 stops here?<br><i>Condicional simple</i><br><span style='font-size:80%'>(saber · usted)</span>","Perdone, ¿<b>sabría</b> decirme si el 27 para aquí?<br><span style='font-size:85%'>saber — to know · usted · <i>politeness / softening</i></span>","condicional-simple irregular en-es use-politeness"
"Estábamos seguros de que lo <b>sabríamos</b> antes del verano.<br><i>Condicional simple</i>","We were sure <b>we'd know</b> before the summer.<br><span style='font-size:85%'>saber — to know · nosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular es-en use-reported"
"If we lived there, <b>we'd know</b> Catalan by now.<br><i>Condicional simple</i><br><span style='font-size:80%'>(saber · nosotros)</span>","Si viviéramos allí, ya <b>sabríamos</b> catalán.<br><span style='font-size:85%'>saber — to know · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"¿<b>Sabríais</b> recomendarme algún restaurante bueno por aquí?<br><i>Condicional simple</i>","<b>Would you guys know</b> a good restaurant round here?<br><span style='font-size:85%'>saber — to know · vosotros · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"You guys <b>must have known</b> by then, surely?<br><i>Condicional simple</i><br><span style='font-size:80%'>(saber · vosotros)</span>","Para entonces ya lo <b>sabríais</b>, ¿no?<br><span style='font-size:85%'>saber — to know · vosotros · <i>conjecture about the past</i></span>","condicional-simple irregular en-es use-conjecture"
"No <b>sabrían</b> la dirección, porque no vinieron.<br><i>Condicional simple</i>","<b>They can't have known</b> the address, because they didn't turn up.<br><span style='font-size:85%'>saber — to know · ellos · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"They told us <b>they'd know</b> something on Monday.<br><i>Condicional simple</i><br><span style='font-size:80%'>(saber · ellos)</span>","Nos dijeron que <b>sabrían</b> algo el lunes.<br><span style='font-size:85%'>saber — to know · ellos · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"¿Por qué <b>habría</b> de mentirte?<br><i>Condicional simple</i>","Why <b>would I</b> lie to you?<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · yo · <i>haber de + infinitive: have to / must</i></span>","condicional-simple irregular es-en use-haber-de"
"If I knew the truth, why <b>would I</b> hide it?<br><i>Condicional simple</i><br><span style='font-size:80%'>(haber · yo)</span>","Si supiera la verdad, ¿por qué <b>habría</b> de ocultarla?<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · yo · <i>haber de + infinitive: have to / must</i></span>","condicional-simple irregular en-es use-haber-de"
"¿Y por qué <b>habrías</b> de pagar tú la cena?<br><i>Condicional simple</i>","And why <b>would you have to</b> pay for dinner?<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · tú · <i>haber de + infinitive: have to / must</i></span>","condicional-simple irregular es-en use-haber-de"
"Why <b>should you</b> apologise if you did nothing wrong?<br><i>Condicional simple</i><br><span style='font-size:80%'>(haber · tú)</span>","¿Por qué <b>habrías</b> de pedir perdón si no hiciste nada malo?<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · tú · <i>haber de + infinitive: have to / must</i></span>","condicional-simple irregular en-es use-haber-de"
"Si no fuera por el puente, no <b>habría</b> tanto tráfico.<br><i>Condicional simple</i>","If it weren't for the long weekend, <b>there wouldn't be</b> so much traffic.<br><span style='font-size:85%'>haber — there is / there are (impersonal) · impersonal · <i>impersonal haber: there is / was / will be…</i></span>","condicional-simple irregular es-en use-existential"
"They said <b>there would be</b> a metro strike on Monday.<br><i>Condicional simple</i><br><span style='font-size:80%'>(haber · impersonal)</span>","Dijeron que <b>habría</b> huelga de metro el lunes.<br><span style='font-size:85%'>haber — there is / there are (impersonal) · impersonal · <i>impersonal haber: there is / was / will be…</i></span>","condicional-simple irregular en-es use-existential"
"¿Por qué <b>habríamos</b> de esperar hasta mañana?<br><i>Condicional simple</i>","Why <b>would we</b> wait until tomorrow?<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · nosotros · <i>haber de + infinitive: have to / must</i></span>","condicional-simple irregular es-en use-haber-de"
"Why <b>should we</b> move if we're happy here?<br><i>Condicional simple</i><br><span style='font-size:80%'>(haber · nosotros)</span>","¿Por qué <b>habríamos</b> de mudarnos si aquí estamos bien?<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · nosotros · <i>haber de + infinitive: have to / must</i></span>","condicional-simple irregular en-es use-haber-de"
"¿Por qué <b>habríais</b> de iros tan pronto?<br><i>Condicional simple</i>","Why <b>would you guys</b> leave so soon?<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · vosotros · <i>haber de + infinitive: have to / must</i></span>","condicional-simple irregular es-en use-haber-de"
"Why <b>would you two</b> have to apologise?<br><i>Condicional simple</i><br><span style='font-size:80%'>(haber · vosotros)</span>","¿Por qué <b>habríais</b> de disculparos vosotros?<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · vosotros · <i>haber de + infinitive: have to / must</i></span>","condicional-simple irregular en-es use-haber-de"
"¿Por qué <b>habrían</b> de creernos?<br><i>Condicional simple</i>","Why <b>would they</b> believe us?<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · ellos · <i>haber de + infinitive: have to / must</i></span>","condicional-simple irregular es-en use-haber-de"
"Why <b>would they</b> lie about something like that?<br><i>Condicional simple</i><br><span style='font-size:80%'>(haber · ellos)</span>","¿Por qué <b>habrían</b> de mentir sobre algo así?<br><span style='font-size:85%'>haber — to have to, must (haber de + infinitive) · ellos · <i>haber de + infinitive: have to / must</i></span>","condicional-simple irregular en-es use-haber-de"
"Si adelgazara un poco, <b>cabría</b> en el vestido de la boda.<br><i>Condicional simple</i>","If I lost a bit of weight, <b>I'd fit</b> into the dress from the wedding.<br><span style='font-size:85%'>caber — to fit · yo · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"<b>Would I fit</b> in the car too, or is it full?<br><i>Condicional simple</i><br><span style='font-size:80%'>(caber · yo)</span>","¿<b>Cabría</b> yo también en el coche, o vais llenos?<br><span style='font-size:85%'>caber — to fit · yo · <i>politeness / softening</i></span>","condicional-simple irregular en-es use-politeness"
"Con cuatro años <b>cabrías</b> en esa maleta, fijo.<br><i>Condicional simple</i>","At four <b>you must have fitted</b> in that suitcase, easily.<br><span style='font-size:85%'>caber — to fit · tú · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"<b>You'd never fit</b> through that gap.<br><i>Condicional simple</i><br><span style='font-size:80%'>(caber · tú)</span>","No <b>cabrías</b> por ese hueco ni de broma.<br><span style='font-size:85%'>caber — to fit · tú · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"El de la tienda nos aseguró que el sofá <b>cabría</b> por la puerta.<br><i>Condicional simple</i>","The guy in the shop assured us the sofa <b>would fit</b> through the door.<br><span style='font-size:85%'>caber — to fit · él · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular es-en use-reported"
"<b>Would it be</b> possible to change the date?<br><i>Condicional simple</i><br><span style='font-size:80%'>(caber · impersonal)</span>","¿<b>Cabría</b> la posibilidad de cambiar la fecha?<br><span style='font-size:85%'>caber — to fit (cabría la posibilidad = would it be possible) · impersonal · <i>politeness / softening</i></span>","condicional-simple irregular en-es use-politeness"
"En tu coche <b>cabríamos</b> todos si nos apretáramos un poco.<br><i>Condicional simple</i>","<b>We'd all fit</b> in your car if we squeezed up a bit.<br><span style='font-size:85%'>caber — to fit · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"I thought <b>we'd all fit</b> in one taxi, but no.<br><i>Condicional simple</i><br><span style='font-size:80%'>(caber · nosotros)</span>","Pensé que <b>cabríamos</b> todos en un taxi, pero no.<br><span style='font-size:85%'>caber — to fit · nosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"¿<b>Cabríais</b> los tres detrás?<br><i>Condicional simple</i>","<b>Would the three of you fit</b> in the back?<br><span style='font-size:85%'>caber — to fit · vosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"I told you guys <b>you wouldn't fit</b> in the lift with all that luggage.<br><i>Condicional simple</i><br><span style='font-size:80%'>(caber · vosotros)</span>","Os dije que no <b>cabríais</b> en el ascensor con tanto equipaje.<br><span style='font-size:85%'>caber — to fit · vosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"En el salón <b>cabrían</b> unas cien personas, y estaba lleno.<br><i>Condicional simple</i>","The hall <b>must have held</b> about a hundred people, and it was packed.<br><span style='font-size:85%'>caber — to fit · ellas · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"The books <b>would fit</b> better on the other shelf.<br><i>Condicional simple</i><br><span style='font-size:80%'>(caber · ellos)</span>","Los libros <b>cabrían</b> mejor en la otra estantería.<br><span style='font-size:85%'>caber — to fit · ellos · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular en-es use-advice"
"<b>Querría</b> hablar con el encargado, por favor.<br><i>Condicional simple</i>","<b>I'd like</b> to speak to the manager, please.<br><span style='font-size:85%'>querer — to want · yo · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"<b>I'd like</b> a white coffee, please.<br><i>Condicional simple</i><br><span style='font-size:80%'>(querer · yo)</span>","<b>Querría</b> un café con leche, por favor.<br><span style='font-size:85%'>querer — to want · yo · <i>politeness / softening</i></span>","condicional-simple irregular en-es use-politeness"
"¿<b>Querrías</b> vivir en otro país si pudieras?<br><i>Condicional simple</i>","<b>Would you want</b> to live in another country if you could?<br><span style='font-size:85%'>querer — to want · tú · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"<b>Would you like</b> to go for a drink after work?<br><i>Condicional simple</i><br><span style='font-size:80%'>(querer · tú)</span>","¿<b>Querrías</b> tomar algo después del trabajo?<br><span style='font-size:85%'>querer — to want · tú · <i>politeness / softening</i></span>","condicional-simple irregular en-es use-politeness"
"Mi hermano dijo que nunca <b>querría</b> vivir en una ciudad.<br><i>Condicional simple</i>","My brother said <b>he'd never want</b> to live in a city.<br><span style='font-size:85%'>querer — to want · él · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular es-en use-reported"
"(In a shop) <b>Would you like</b> anything else?<br><i>Condicional simple</i><br><span style='font-size:80%'>(querer · usted)</span>","¿<b>Querría</b> algo más?<br><span style='font-size:85%'>querer — to want · usted · <i>politeness / softening</i></span>","condicional-simple irregular en-es use-politeness"
"<b>Querríamos</b> reservar una habitación doble para el puente.<br><i>Condicional simple</i>","<b>We'd like</b> to book a double room for the long weekend.<br><span style='font-size:85%'>querer — to want · nosotros · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"If we had kids, <b>we'd want</b> a bigger flat.<br><i>Condicional simple</i><br><span style='font-size:80%'>(querer · nosotros)</span>","Si tuviéramos hijos, <b>querríamos</b> un piso más grande.<br><span style='font-size:85%'>querer — to want · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"¿<b>Querríais</b> venir de vacaciones con nosotros?<br><i>Condicional simple</i>","<b>Would you two like</b> to come on holiday with us?<br><span style='font-size:85%'>querer — to want · vosotros · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"I thought <b>you guys would want</b> to rest after the journey.<br><i>Condicional simple</i><br><span style='font-size:80%'>(querer · vosotros)</span>","Pensé que <b>querríais</b> descansar después del viaje.<br><span style='font-size:85%'>querer — to want · vosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"Los vecinos no <b>querrían</b> líos, así que no dijeron nada.<br><i>Condicional simple</i>","The neighbours <b>probably didn't want</b> any trouble, so they kept quiet.<br><span style='font-size:85%'>querer — to want · ellos · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"My parents <b>would</b> definitely <b>want</b> to meet you.<br><i>Condicional simple</i><br><span style='font-size:80%'>(querer · ellos)</span>","Mis padres <b>querrían</b> conocerte, seguro.<br><span style='font-size:85%'>querer — to want · ellos · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"Yo <b>diría</b> que va a llover.<br><i>Condicional simple</i>","<b>I'd say</b> it's going to rain.<br><span style='font-size:85%'>decir — to say · yo · <i>politeness / softening</i></span>","condicional-simple irregular es-en use-politeness"
"If I were you, <b>I'd tell</b> her the truth.<br><i>Condicional simple</i><br><span style='font-size:80%'>(decir · yo)</span>","Yo que tú, le <b>diría</b> la verdad.<br><span style='font-size:85%'>decir — to tell · yo · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular en-es use-advice"
"¿Qué le <b>dirías</b> a tu yo de quince años?<br><i>Condicional simple</i>","What <b>would you say</b> to your fifteen-year-old self?<br><span style='font-size:85%'>decir — to say · tú · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"You promised <b>you'd tell</b> me!<br><i>Condicional simple</i><br><span style='font-size:80%'>(decir · tú)</span>","¡Me prometiste que me lo <b>dirías</b>!<br><span style='font-size:85%'>decir — to tell · tú · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"No sé por qué lo <b>diría</b>, pero me sentó fatal.<br><i>Condicional simple</i>","I don't know why <b>he'd have said</b> that, but it really upset me.<br><span style='font-size:85%'>decir — to say · él · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"The teacher promised <b>she'd tell</b> us our marks tomorrow.<br><i>Condicional simple</i><br><span style='font-size:80%'>(decir · ella)</span>","La profe prometió que nos <b>diría</b> las notas mañana.<br><span style='font-size:85%'>decir — to tell · ella · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"Nosotros nunca <b>diríamos</b> eso delante de los niños.<br><i>Condicional simple</i>","<b>We'd never say</b> that in front of the kids.<br><span style='font-size:85%'>decir — to say · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"We agreed <b>we wouldn't tell</b> anyone.<br><i>Condicional simple</i><br><span style='font-size:80%'>(decir · nosotros)</span>","Quedamos en que no se lo <b>diríamos</b> a nadie.<br><span style='font-size:85%'>decir — to tell · nosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"¿Qué <b>diríais</b> si os propusiera mudarnos a Canarias?<br><i>Condicional simple</i>","What <b>would you guys say</b> if I suggested moving to the Canaries?<br><span style='font-size:85%'>decir — to say · vosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"<b>You guys must have said</b> something to her, because she left in tears.<br><i>Condicional simple</i><br><span style='font-size:80%'>(decir · vosotros)</span>","Algo le <b>diríais</b>, porque se fue llorando.<br><span style='font-size:85%'>decir — to say · vosotros · <i>conjecture about the past</i></span>","condicional-simple irregular en-es use-conjecture"
"Se lo <b>dirían</b> sus amigos, porque yo no se lo conté.<br><i>Condicional simple</i>","<b>His friends must have told</b> him, because I didn't.<br><span style='font-size:85%'>decir — to tell · ellos · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"What <b>would</b> your parents <b>say</b> if they saw this?<br><i>Condicional simple</i><br><span style='font-size:80%'>(decir · ellos)</span>","¿Qué <b>dirían</b> tus padres si vieran esto?<br><span style='font-size:85%'>decir — to say · ellos · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"Yo que tú, no <b>haría</b> nada hasta hablar con un abogado.<br><i>Condicional simple</i>","If I were you, <b>I wouldn't do</b> anything until I'd spoken to a lawyer.<br><span style='font-size:85%'>hacer — to do · yo · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular es-en use-advice"
"<b>I'd do</b> anything for my kids.<br><i>Condicional simple</i><br><span style='font-size:80%'>(hacer · yo)</span>","<b>Haría</b> cualquier cosa por mis hijos.<br><span style='font-size:85%'>hacer — to do · yo · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"¿Qué <b>harías</b> si te tocara la lotería?<br><i>Condicional simple</i>","What <b>would you do</b> if you won the lottery?<br><span style='font-size:85%'>hacer — to do · tú · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular es-en use-hypothetical"
"<b>Would you do</b> me a favour?<br><i>Condicional simple</i><br><span style='font-size:80%'>(hacer · tú)</span>","¿Me <b>harías</b> un favor?<br><span style='font-size:85%'>hacer — to do (hacer un favor) · tú · <i>politeness / softening</i></span>","condicional-simple irregular en-es use-politeness"
"Aquel día <b>haría</b> unos cuarenta grados a la sombra.<br><i>Condicional simple</i>","That day <b>it must have been</b> about forty degrees in the shade.<br><span style='font-size:85%'>hacer — to make (weather) · impersonal (weather) · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"<b>It would do</b> you good to rest for a few days.<br><i>Condicional simple</i><br><span style='font-size:80%'>(hacer · impersonal)</span>","Te <b>haría</b> bien descansar unos días.<br><span style='font-size:85%'>hacer — to do (hacer bien = to do good) · impersonal · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular en-es use-advice"
"Prometimos que <b>haríamos</b> la compra, pero se nos olvidó.<br><i>Condicional simple</i>","We promised <b>we'd do</b> the shopping, but we forgot.<br><span style='font-size:85%'>hacer — to do · nosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular es-en use-reported"
"What <b>would we do</b> without you?<br><i>Condicional simple</i><br><span style='font-size:80%'>(hacer · nosotros)</span>","¿Qué <b>haríamos</b> sin ti?<br><span style='font-size:85%'>hacer — to do · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple irregular en-es use-hypothetical"
"¿Vosotros qué <b>haríais</b> en mi lugar?<br><i>Condicional simple</i>","What <b>would you guys do</b> in my shoes?<br><span style='font-size:85%'>hacer — to do · vosotros · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple irregular es-en use-advice"
"<b>Would you guys do</b> me a favour and water the plants?<br><i>Condicional simple</i><br><span style='font-size:80%'>(hacer · vosotros)</span>","¿Me <b>haríais</b> el favor de regar las plantas?<br><span style='font-size:85%'>hacer — to do (hacer un favor) · vosotros · <i>politeness / softening</i></span>","condicional-simple irregular en-es use-politeness"
"¿Qué <b>harían</b> anoche para estar tan cansados?<br><i>Condicional simple</i>","What on earth <b>were they doing</b> last night to be so tired?<br><span style='font-size:85%'>hacer — to do · ellos · <i>conjecture about the past</i></span>","condicional-simple irregular es-en use-conjecture"
"They said <b>they'd build</b> a new park on the empty plot.<br><i>Condicional simple</i><br><span style='font-size:80%'>(hacer · ellos)</span>","Dijeron que <b>harían</b> un parque nuevo en el solar.<br><span style='font-size:85%'>hacer — to make, to build · ellos · <i>future-in-the-past (reported speech)</i></span>","condicional-simple irregular en-es use-reported"
"The twelve <b>irregular future / conditional stems</b>","<table><tr><td>tener</td><td><b>tendr-</b></td></tr><tr><td>poner</td><td><b>pondr-</b></td></tr><tr><td>venir</td><td><b>vendr-</b></td></tr><tr><td>salir</td><td><b>saldr-</b></td></tr><tr><td>valer</td><td><b>valdr-</b></td></tr><tr><td>poder</td><td><b>podr-</b></td></tr><tr><td>saber</td><td><b>sabr-</b></td></tr><tr><td>haber</td><td><b>habr-</b></td></tr><tr><td>caber</td><td><b>cabr-</b></td></tr><tr><td>querer</td><td><b>querr-</b></td></tr><tr><td>decir</td><td><b>dir-</b></td></tr><tr><td>hacer</td><td><b>har-</b></td></tr></table><br>Three groups: <b>drop a vowel</b> (podr-, sabr-, habr-, cabr-, querr-), <b>insert a d</b> (tendr-, pondr-, vendr-, saldr-, valdr-), <b>two rogues</b> (dir-, har-).","condicional-simple irregular pattern"
"<b>When and why</b> do you use the<br><i>Condicional simple</i>?","Its main work is <b>social</b>, not temporal.<ul><li><b>Politeness and softening</b> — <i>querría un café; ¿podría ayudarme?; me gustaría reservar.</i> Most frequent use.</li><li><b>Advice</b> — <i>deberías descansar; yo que tú, hablaría con ella.</i></li><li><b>Result half of a hypothetical</b> — <i>si tuviera tiempo, iría.</i></li><li><b>Future-in-the-past</b> — <i>dijo que vendría.</i></li><li><b>Conjecture about the past</b> — <i>serían las tres cuando llegó.</i></li></ul>","condicional-simple usage concept"
"<b>Tricks and tips</b> for the<br><i>Condicional simple</i>","<ul><li><b>The easiest tense to conjugate</b> — one ending set, no conjugation classes.</li><li>Endings are identical to the <b>-er/-ir imperfect</b>.</li><li><b>Same twelve stems as the future</b> — learn once, get both tenses.</li><li><b>Never after conditional <i>si</i></b>. <i>Si tendría</i> is wrong; use the imperfect subjunctive there. But when <i>si</i> means <b>whether</b>, the conditional is fine: <i>no sé si vendría</i>.</li></ul>","condicional-simple tips concept"
