#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::07 Imperfecto de subjuntivo
#columns:Front,Back,Tags
#tags column:3
"How is the <b>imperfecto de subjuntivo</b> formed?","Take the <b>ellos form of the preterite</b>, drop <b>-ron</b>, add:<br><br><b>-ra set</b>: ra · ras · ra · ramos · rais · ran<br><b>-se set</b>: se · ses · se · semos · seis · sen<br><br>hablaron → habla- · comieron → comie- · fueron → fue-<br><br><b>No exceptions at all.</b> The nosotros form takes an accent: habláramos.","imperfecto-subjuntivo formation"
"Mi jefe quería que <b>estuviéramos</b> en la oficina a las ocho.<br><i>Imperfecto de subjuntivo</i>","My boss wanted <b>us to be</b> in the office by eight.<br><span style='font-size:85%'>estar — to be (state, location) · nosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular es-en use-wish"
"They treated us as if <b>we were</b> at home.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(estar · nosotros)</span>","Nos trataron como si <b>estuviéramos</b> en casa.<br><span style='font-size:85%'>estar — to be (state, location) · nosotros · <i>como si: as if</i></span>","imperfecto-subjuntivo irregular en-es use-como-si"
"Me extrañó que no <b>estuvierais</b> en la fiesta.<br><i>Imperfecto de subjuntivo</i>","I was surprised <b>you guys weren't</b> at the party.<br><span style='font-size:85%'>estar — to be (state, location) · vosotros · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-emotion"
"If <b>you two were</b> less tired, we could go out tonight.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(estar · vosotros)</span>","Si <b>estuvierais</b> menos cansados, podríamos salir esta noche.<br><span style='font-size:85%'>estar — to be (state, location) · vosotros · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular en-es use-si-clause"
"Buscaba unas zapatillas que <b>estuvieran</b> de oferta.<br><i>Imperfecto de subjuntivo</i>","I was looking for some trainers that <b>were</b> on sale.<br><span style='font-size:85%'>estar — to be (state, location) · ellas · <i>unknown or hypothetical antecedent (past)</i></span>","imperfecto-subjuntivo irregular es-en use-relative"
"I wish my parents <b>were</b> nearer.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(estar · ellos)</span>","Ojalá mis padres <b>estuvieran</b> más cerca.<br><span style='font-size:85%'>estar — to be (state, location) · ellos · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular en-es use-ojala"
"Si <b>pudiera</b>, me tomaría una semana de vacaciones ahora mismo.<br><i>Imperfecto de subjuntivo</i>","If <b>I could</b>, I'd take a week off right now.<br><span style='font-size:85%'>poder — to be able to · yo · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular es-en use-si-clause"
"I wish <b>I could</b> go, but I'm working that day.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(poder · yo)</span>","Ojalá <b>pudiera</b> ir, pero ese día trabajo.<br><span style='font-size:85%'>poder — to be able to · yo · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular en-es use-ojala"
"Te dejé las llaves para que <b>pudieras</b> entrar.<br><i>Imperfecto de subjuntivo</i>","I left you the keys so that <b>you could</b> get in.<br><span style='font-size:85%'>poder — to be able to · tú · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-purpose"
"I didn't think <b>you could</b> finish it in one day.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(poder · tú)</span>","No pensaba que <b>pudieras</b> terminarlo en un día.<br><span style='font-size:85%'>poder — to be able to · tú · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-doubt"
"Me alegré de que mi abuelo <b>pudiera</b> venir a la boda.<br><i>Imperfecto de subjuntivo</i>","I was glad my grandad <b>could</b> come to the wedding.<br><span style='font-size:85%'>poder — to be able to · él · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-emotion"
"We needed someone who <b>could</b> look after the dog.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(poder · él)</span>","Necesitábamos a alguien que <b>pudiera</b> cuidar del perro.<br><span style='font-size:85%'>poder — to be able to · él · <i>unknown or hypothetical antecedent (past)</i></span>","imperfecto-subjuntivo irregular en-es use-relative"
"Si <b>pudiéramos</b> elegir, viviríamos en el sur.<br><i>Imperfecto de subjuntivo</i>","If <b>we could</b> choose, we'd live in the south.<br><span style='font-size:85%'>poder — to be able to · nosotros · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular es-en use-si-clause"
"The neighbours turned the music down so that <b>we could</b> sleep.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(poder · nosotros)</span>","Los vecinos bajaron la música para que <b>pudiéramos</b> dormir.<br><span style='font-size:85%'>poder — to be able to · nosotros · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-purpose"
"Ojalá <b>pudierais</b> quedaros unos días más.<br><i>Imperfecto de subjuntivo</i>","I wish <b>you guys could</b> stay a few more days.<br><span style='font-size:85%'>poder — to be able to · vosotros · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular es-en use-ojala"
"What a shame <b>you two couldn't</b> come to dinner.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(poder · vosotros)</span>","Qué pena que no <b>pudierais</b> venir a la cena.<br><span style='font-size:85%'>poder — to be able to · vosotros · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-emotion"
"Hablaban de la casa como si <b>pudieran</b> comprarla mañana.<br><i>Imperfecto de subjuntivo</i>","They talked about the house as if <b>they could</b> buy it tomorrow.<br><span style='font-size:85%'>poder — to be able to · ellos · <i>como si: as if</i></span>","imperfecto-subjuntivo irregular es-en use-como-si"
"The doctors didn't think <b>they could</b> save his leg.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(poder · ellos)</span>","Los médicos no creían que <b>pudieran</b> salvarle la pierna.<br><span style='font-size:85%'>poder — to be able to · ellos · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-doubt"
"Mi madre me pidió que <b>pusiera</b> la mesa.<br><i>Imperfecto de subjuntivo</i>","My mum asked <b>me to lay</b> the table.<br><span style='font-size:85%'>poner — to put, to lay (the table) · yo · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular es-en use-wish"
"If <b>I put</b> the heating on, the bill would be huge.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(poner · yo)</span>","Si <b>pusiera</b> la calefacción, la factura sería enorme.<br><span style='font-size:85%'>poner — to put (on) · yo · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular en-es use-si-clause"
"No me gustó que <b>pusieras</b> esa foto en Instagram.<br><i>Imperfecto de subjuntivo</i>","I didn't like <b>you putting</b> that photo on Instagram.<br><span style='font-size:85%'>poner — to put, to post · tú · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-emotion"
"I told you <b>to put</b> the milk in the fridge!<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(poner · tú)</span>","¡Te dije que <b>pusieras</b> la leche en la nevera!<br><span style='font-size:85%'>poner — to put · tú · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular en-es use-wish"
"Ojalá el Ayuntamiento <b>pusiera</b> más papeleras en el parque.<br><i>Imperfecto de subjuntivo</i>","I wish the council <b>would put</b> more bins in the park.<br><span style='font-size:85%'>poner — to put · él · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular es-en use-ojala"
"We were looking for a teacher who <b>would set</b> less homework.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(poner · él)</span>","Buscábamos un profe que <b>pusiera</b> menos deberes.<br><span style='font-size:85%'>poner — to set (homework) · él · <i>unknown or hypothetical antecedent (past)</i></span>","imperfecto-subjuntivo irregular en-es use-relative"
"Mis padres no querían que <b>pusiéramos</b> la tele durante la cena.<br><i>Imperfecto de subjuntivo</i>","My parents didn't want <b>us to put</b> the TV on during dinner.<br><span style='font-size:85%'>poner — to put on (TV) · nosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular es-en use-wish"
"If <b>we put</b> the sofa by the window, we'd have more room.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(poner · nosotros)</span>","Si <b>pusiéramos</b> el sofá junto a la ventana, tendríamos más sitio.<br><span style='font-size:85%'>poner — to put · nosotros · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular en-es use-si-clause"
"Os dejé una nota para que <b>pusierais</b> la lavadora.<br><i>Imperfecto de subjuntivo</i>","I left you guys a note so that <b>you'd put</b> the washing machine on.<br><span style='font-size:85%'>poner — to put on (a wash) · vosotros · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-purpose"
"It annoyed me that <b>you two put</b> your feet up on the table.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(poner · vosotros)</span>","Me molestó que <b>pusierais</b> los pies encima de la mesa.<br><span style='font-size:85%'>poner — to put · vosotros · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-emotion"
"Me encantó que <b>pusieran</b> nuestra canción en la boda.<br><i>Imperfecto de subjuntivo</i>","I loved that <b>they played</b> our song at the wedding.<br><span style='font-size:85%'>poner — to put on (music) · ellos · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-emotion"
"I wish <b>they'd put</b> a bus stop closer to home.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(poner · ellos)</span>","Ojalá <b>pusieran</b> una parada de autobús más cerca de casa.<br><span style='font-size:85%'>poner — to put (in) · ellos · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular en-es use-ojala"
"Si yo lo <b>supiera</b>, te lo diría.<br><i>Imperfecto de subjuntivo</i>","If <b>I knew</b>, I'd tell you.<br><span style='font-size:85%'>saber — to know (a fact) · yo · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular es-en use-si-clause"
"He explained it to me as if <b>I didn't know</b> anything about computers.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(saber · yo)</span>","Me lo explicó como si no <b>supiera</b> nada de ordenadores.<br><span style='font-size:85%'>saber — to know (a fact) · yo · <i>como si: as if</i></span>","imperfecto-subjuntivo irregular en-es use-como-si"
"No quería que <b>supieras</b> lo de la fiesta sorpresa.<br><i>Imperfecto de subjuntivo</i>","I didn't want <b>you to know</b> about the surprise party.<br><span style='font-size:85%'>saber — to know (a fact) · tú · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular es-en use-wish"
"I wish <b>you knew</b> how much I miss you.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(saber · tú)</span>","Ojalá <b>supieras</b> cuánto te echo de menos.<br><span style='font-size:85%'>saber — to know (a fact) · tú · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular en-es use-ojala"
"No creía que mi jefe <b>supiera</b> mi nombre.<br><i>Imperfecto de subjuntivo</i>","I didn't think my boss <b>knew</b> my name.<br><span style='font-size:85%'>saber — to know (a fact) · él · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-doubt"
"They were looking for a receptionist who <b>knew</b> German.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(saber · ella)</span>","Buscaban una recepcionista que <b>supiera</b> alemán.<br><span style='font-size:85%'>saber — to know (a language) · ella · <i>unknown or hypothetical antecedent (past)</i></span>","imperfecto-subjuntivo irregular en-es use-relative"
"A mis padres les sorprendió que <b>supiéramos</b> la verdad.<br><i>Imperfecto de subjuntivo</i>","My parents were surprised that <b>we knew</b> the truth.<br><span style='font-size:85%'>saber — to know (a fact) · nosotros · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-emotion"
"The guide gave us a map so that <b>we'd know</b> how to get back.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(saber · nosotros)</span>","El guía nos dio un mapa para que <b>supiéramos</b> volver.<br><span style='font-size:85%'>saber — to know (how to) · nosotros · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-purpose"
"Si <b>supierais</b> lo que me ha pasado hoy, no os lo creeríais.<br><i>Imperfecto de subjuntivo</i>","If <b>you guys knew</b> what happened to me today, you wouldn't believe it.<br><span style='font-size:85%'>saber — to know (a fact) · vosotros · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular es-en use-si-clause"
"I wanted <b>you guys to hear</b> it from me before anyone else.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(saber · vosotros)</span>","Quería que lo <b>supierais</b> por mí antes que por nadie.<br><span style='font-size:85%'>saber — to know (a fact) · vosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular en-es use-wish"
"Me miraron como si <b>supieran</b> algo que yo no sabía.<br><i>Imperfecto de subjuntivo</i>","They looked at me as if <b>they knew</b> something I didn't.<br><span style='font-size:85%'>saber — to know (a fact) · ellos · <i>como si: as if</i></span>","imperfecto-subjuntivo irregular es-en use-como-si"
"I doubted <b>they knew</b> the way.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(saber · ellos)</span>","Dudaba que <b>supieran</b> el camino.<br><span style='font-size:85%'>saber — to know (a fact) · ellos · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-doubt"
"<b>Quisiera</b> reservar una mesa para cuatro, por favor.<br><i>Imperfecto de subjuntivo</i>","<b>I'd like</b> to book a table for four, please.<br><span style='font-size:85%'>querer — to want · yo · <i>softened request (-ra only)</i></span>","imperfecto-subjuntivo irregular es-en use-politeness"
"<b>I'd like</b> to speak to the manager, please.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(querer · yo)</span>","<b>Quisiera</b> hablar con el encargado, por favor.<br><span style='font-size:85%'>querer — to want · yo · <i>softened request (-ra only)</i></span>","imperfecto-subjuntivo irregular en-es use-politeness"
"Si de verdad <b>quisieras</b> ayudarme, lo harías.<br><i>Imperfecto de subjuntivo</i>","If you really <b>wanted</b> to help me, you'd do it.<br><span style='font-size:85%'>querer — to want · tú · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular es-en use-si-clause"
"I didn't think <b>you'd want</b> to come.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(querer · tú)</span>","No pensaba que <b>quisieras</b> venir.<br><span style='font-size:85%'>querer — to want · tú · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-doubt"
"Me sorprendió que mi hermano no <b>quisiera</b> venir a la playa.<br><i>Imperfecto de subjuntivo</i>","I was surprised my brother <b>didn't want</b> to come to the beach.<br><span style='font-size:85%'>querer — to want · él · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-emotion"
"My mother <b>would like</b> to speak to you.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(querer · ella)</span>","Mi madre <b>quisiera</b> hablar con usted.<br><span style='font-size:85%'>querer — to want · ella · <i>softened request (-ra only)</i></span>","imperfecto-subjuntivo irregular en-es use-politeness"
"<b>Quisiéramos</b> dos habitaciones dobles para el fin de semana.<br><i>Imperfecto de subjuntivo</i>","(At a hotel) <b>We'd like</b> two double rooms for the weekend.<br><span style='font-size:85%'>querer — to want · nosotros · <i>softened request (-ra only)</i></span>","imperfecto-subjuntivo irregular es-en use-politeness"
"Our parents hoped <b>we'd want</b> to study law.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(querer · nosotros)</span>","Nuestros padres esperaban que <b>quisiéramos</b> estudiar Derecho.<br><span style='font-size:85%'>querer — to want · nosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular en-es use-wish"
"Nunca me imaginé que <b>quisierais</b> mudaros a Londres.<br><i>Imperfecto de subjuntivo</i>","I never imagined <b>you two would want</b> to move to London.<br><span style='font-size:85%'>querer — to want · vosotros · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-doubt"
"If <b>you guys wanted</b>, we could have dinner at mine.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(querer · vosotros)</span>","Si <b>quisierais</b>, podríamos cenar en mi casa.<br><span style='font-size:85%'>querer — to want · vosotros · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular en-es use-si-clause"
"Me dolió que no <b>quisieran</b> invitarme.<br><i>Imperfecto de subjuntivo</i>","It hurt me that <b>they didn't want</b> to invite me.<br><span style='font-size:85%'>querer — to want · ellos · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-emotion"
"I wish <b>they wanted</b> to spend more time with us.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(querer · ellos)</span>","Ojalá <b>quisieran</b> pasar más tiempo con nosotros.<br><span style='font-size:85%'>querer — to want · ellos · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular en-es use-ojala"
"Mi abuela quería que yo <b>viniera</b> a verla más a menudo.<br><i>Imperfecto de subjuntivo</i>","My gran wanted <b>me to come</b> and see her more often.<br><span style='font-size:85%'>venir — to come · yo · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular es-en use-wish"
"If <b>I came</b> with you guys, who would look after the kids?<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(venir · yo)</span>","Si <b>viniera</b> con vosotros, ¿quién cuidaría de los niños?<br><span style='font-size:85%'>venir — to come · yo · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular en-es use-si-clause"
"¡Qué ilusión me hizo que <b>vinieras</b> a mi cumpleaños!<br><i>Imperfecto de subjuntivo</i>","I was so chuffed that <b>you came</b> to my birthday!<br><span style='font-size:85%'>venir — to come · tú · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-emotion"
"I wish <b>you'd come</b> with us to Asturias.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(venir · tú)</span>","Ojalá <b>vinieras</b> con nosotros a Asturias.<br><span style='font-size:85%'>venir — to come · tú · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular en-es use-ojala"
"No esperaba que el técnico <b>viniera</b> tan pronto.<br><i>Imperfecto de subjuntivo</i>","I didn't expect the engineer <b>to come</b> so soon.<br><span style='font-size:85%'>venir — to come · él · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-doubt"
"I sent her the address so that <b>she'd come</b> straight here.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(venir · ella)</span>","Le mandé la dirección para que <b>viniera</b> directamente.<br><span style='font-size:85%'>venir — to come · ella · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-purpose"
"Nos pidieron que <b>viniéramos</b> media hora antes.<br><i>Imperfecto de subjuntivo</i>","They asked <b>us to come</b> half an hour early.<br><span style='font-size:85%'>venir — to come · nosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular es-en use-wish"
"They welcomed us as if <b>we came</b> every year.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(venir · nosotros)</span>","Nos recibieron como si <b>viniéramos</b> todos los años.<br><span style='font-size:85%'>venir — to come · nosotros · <i>como si: as if</i></span>","imperfecto-subjuntivo irregular en-es use-como-si"
"Si <b>vinierais</b> en tren, llegaríais antes.<br><i>Imperfecto de subjuntivo</i>","If <b>you guys came</b> by train, you'd get here sooner.<br><span style='font-size:85%'>venir — to come · vosotros · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular es-en use-si-clause"
"I was really pleased <b>you guys came</b>.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(venir · vosotros)</span>","Me alegró mucho que <b>vinierais</b>.<br><span style='font-size:85%'>venir — to come · vosotros · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-emotion"
"No pensaba que <b>vinieran</b> tantos amigos a la fiesta.<br><i>Imperfecto de subjuntivo</i>","I didn't think so many friends <b>would come</b> to the party.<br><span style='font-size:85%'>venir — to come · ellos · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-doubt"
"We tidied the flat before <b>they came</b>.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(venir · ellos)</span>","Ordenamos el piso antes de que <b>vinieran</b>.<br><span style='font-size:85%'>venir — to come · ellos · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-purpose"
"Mi jefe me pidió que <b>hiciera</b> horas extra.<br><i>Imperfecto de subjuntivo</i>","My boss asked <b>me to do</b> overtime.<br><span style='font-size:85%'>hacer — to do · yo · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular es-en use-wish"
"If <b>I did</b> that, my mum would kill me.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(hacer · yo)</span>","Si <b>hiciera</b> eso, mi madre me mataría.<br><span style='font-size:85%'>hacer — to do · yo · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular en-es use-si-clause"
"Ojalá <b>hicieras</b> más deporte; te sentirías mejor.<br><i>Imperfecto de subjuntivo</i>","I wish <b>you did</b> more exercise; you'd feel better.<br><span style='font-size:85%'>hacer — to do (exercise) · tú · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular es-en use-ojala"
"I was surprised <b>you made</b> a cake all by yourself.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(hacer · tú)</span>","Me sorprendió que <b>hicieras</b> una tarta tú sola.<br><span style='font-size:85%'>hacer — to make · tú · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-emotion"
"No pensaba que <b>hiciera</b> tanto frío en Granada.<br><i>Imperfecto de subjuntivo</i>","I didn't think <b>it would be</b> so cold in Granada.<br><span style='font-size:85%'>hacer — to be (weather) · impersonal · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-doubt"
"He talks about his job as if <b>he did</b> it all by himself.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(hacer · él)</span>","Habla de su trabajo como si lo <b>hiciera</b> todo él solo.<br><span style='font-size:85%'>hacer — to do · él · <i>como si: as if</i></span>","imperfecto-subjuntivo irregular en-es use-como-si"
"Los niños se durmieron sin que <b>hiciéramos</b> nada.<br><i>Imperfecto de subjuntivo</i>","The kids fell asleep without <b>us doing</b> anything.<br><span style='font-size:85%'>hacer — to do · nosotros · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-purpose"
"The teacher wanted <b>us to do</b> the project in pairs.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(hacer · nosotros)</span>","La profesora quería que <b>hiciéramos</b> el proyecto en parejas.<br><span style='font-size:85%'>hacer — to do · nosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular en-es use-wish"
"Si <b>hicierais</b> la compra online, ahorraríais tiempo.<br><i>Imperfecto de subjuntivo</i>","If <b>you guys did</b> the shopping online, you'd save time.<br><span style='font-size:85%'>hacer — to do · vosotros · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular es-en use-si-clause"
"I never thought <b>you two would do</b> something like that.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(hacer · vosotros)</span>","Nunca pensé que <b>hicierais</b> algo así.<br><span style='font-size:85%'>hacer — to do · vosotros · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-doubt"
"Buscábamos albañiles que <b>hicieran</b> la obra en un mes.<br><i>Imperfecto de subjuntivo</i>","We were looking for builders who <b>would do</b> the work in a month.<br><span style='font-size:85%'>hacer — to do · ellos · <i>unknown or hypothetical antecedent (past)</i></span>","imperfecto-subjuntivo irregular es-en use-relative"
"I wish <b>they'd do</b> something about the noise in the street.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(hacer · ellos)</span>","Ojalá <b>hicieran</b> algo con el ruido de la calle.<br><span style='font-size:85%'>hacer — to do · ellos · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular en-es use-ojala"
"Mi hermano me rogó que no le <b>dijera</b> nada a mamá.<br><i>Imperfecto de subjuntivo</i>","My brother begged <b>me not to say</b> anything to Mum.<br><span style='font-size:85%'>decir — to say, to tell · yo · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular es-en use-wish"
"They looked at me as if <b>I was saying</b> something stupid.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(decir · yo)</span>","Me miraron como si <b>dijera</b> una tontería.<br><span style='font-size:85%'>decir — to say, to tell · yo · <i>como si: as if</i></span>","imperfecto-subjuntivo irregular en-es use-como-si"
"Me dolió que me <b>dijeras</b> eso delante de todos.<br><i>Imperfecto de subjuntivo</i>","It hurt that <b>you said</b> that to me in front of everyone.<br><span style='font-size:85%'>decir — to say, to tell · tú · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-emotion"
"If <b>you told</b> her the truth, she'd understand.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(decir · tú)</span>","Si le <b>dijeras</b> la verdad, lo entendería.<br><span style='font-size:85%'>decir — to say, to tell · tú · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular en-es use-si-clause"
"No creía que lo <b>dijera</b> en serio.<br><i>Imperfecto de subjuntivo</i>","I didn't think <b>he meant</b> it.<br><span style='font-size:85%'>decir — to say, to mean (en serio) · él · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-doubt"
"I wish <b>she'd tell</b> me what's wrong.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(decir · ella)</span>","Ojalá me <b>dijera</b> qué le pasa.<br><span style='font-size:85%'>decir — to say, to tell · ella · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo irregular en-es use-ojala"
"Mi madre nos dio un móvil para que le <b>dijéramos</b> dónde estábamos.<br><i>Imperfecto de subjuntivo</i>","My mum gave us a mobile so <b>we could tell</b> her where we were.<br><span style='font-size:85%'>decir — to say, to tell · nosotros · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo irregular es-en use-purpose"
"They asked <b>us not to say</b> anything.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(decir · nosotros)</span>","Nos pidieron que no <b>dijéramos</b> nada.<br><span style='font-size:85%'>decir — to say, to tell · nosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo irregular en-es use-wish"
"Si me <b>dijerais</b> a qué hora llegáis, iría a buscaros.<br><i>Imperfecto de subjuntivo</i>","If <b>you guys told</b> me what time you get in, I'd come and pick you up.<br><span style='font-size:85%'>decir — to say, to tell · vosotros · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo irregular es-en use-si-clause"
"I found it funny that <b>you guys said</b> that.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(decir · vosotros)</span>","Me hizo gracia que <b>dijerais</b> eso.<br><span style='font-size:85%'>decir — to say, to tell · vosotros · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo irregular en-es use-emotion"
